CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES;NB_D201;NB_D202;NB_D203;NB_D206;NB_D207;NB_D208;NB_D210;NB_D212;NB_D214;NB_D231;NB_D232;NB_D233;NB_D235;NB_D237;NB_D238;NB_D240;NB_D243
13015;13015;Bouc-Bel-Air;4;Ceintures urbaines;15248;0,1;0,0;0,0;94,9;0,0;4,2;0,8;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;1;0;1;1;18;1;4;0;5;1;2;0;0;3;19;38;11;6;1;1;10
13019;13019;Cabriès;4;Ceintures urbaines;10070;0,0;0,0;0,0;83,3;0,0;14,7;1,9;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;8;4;0;0;2;6;0;0;0;7;25;22;3;3;0;0;2
13026;13026;Châteauneuf-les-Martigues;2;Centres urbains intermédiaires;17909;0,0;44,7;0,0;38,4;9,9;6,7;0,4;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;1;0;1;0;0;0;1;0;0;10;0;1;0;1;3;0;0;0;2;31;22;3;4;0;5;1
13027;13027;Châteaurenard;2;Centres urbains intermédiaires;16669;0,0;60,4;0,0;26,0;0,1;12,6;0,8;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;3;0;1;0;0;0;0;0;0;11;2;1;1;0;1;1;3;2;2;47;16;6;3;0;0;6
13039;13039;Fos-sur-Mer;2;Centres urbains intermédiaires;15469;0,0;68,2;0,0;29,5;0,0;1,9;0,4;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;0;0;1;0;0;0;1;1;1;16;1;0;0;1;0;1;0;0;0;26;11;3;4;0;1;4
13040;13040;Fuveau;4;Ceintures urbaines;10115;0,0;0,0;0,0;71,1;0,3;28,1;0,6;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;10;0;0;0;0;0;3;1;2;1;25;19;9;2;0;4;7
13043;13043;Gignac-la-Nerthe;2;Centres urbains intermédiaires;10083;0,0;67,9;0,0;28,2;0,0;3,7;0,2;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;2;0;0;25;9;4;2;0;2;0
13069;13069;Pélissanne;2;Centres urbains intermédiaires;10554;0,0;78,4;0,0;15,6;0,0;4,6;1,5;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;1;23;17;5;3;0;0;6
13075;13075;Plan-de-Cuques;1;Grands centres urbains;11396;98,2;0,0;0,0;1,8;0,0;0,0;0,0;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;11;4;2;3;0;2;3;0;3;1;53;22;6;5;2;6;6
13077;13077;Port-de-Bouc;1;Grands centres urbains;16136;82,9;0,0;0,0;15,7;0,0;0,9;0,5;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;1;0;1;0;0;0;0;1;1;11;1;0;1;0;0;0;0;1;2;212;8;2;1;2;0;1
13081;13081;Rognac;4;Ceintures urbaines;12175;0,0;43,5;0,0;50,5;0,0;5,3;0,8;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;8;4;0;1;1;0;0;10;1;1;22;18;6;4;1;0;1
13097;13097;Saint-Martin-de-Crau;2;Centres urbains intermédiaires;13729;0,0;57,3;0,0;30,5;0,0;5,2;7,0;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;1;1;1;0;0;0;1;1;1;11;0;1;0;0;2;0;2;0;2;25;8;4;2;0;0;9
13106;13106;Septèmes-les-Vallons;1;Grands centres urbains;11734;82,9;0,0;0,0;15,1;0,0;1,8;0,2;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;0;0;0;1;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;24;26;5;5;0;0;5
13108;13108;Tarascon;2;Centres urbains intermédiaires;15423;0,0;78,6;0,0;10,0;0,5;4,8;6,1;Bouches-du-RhÃ´ne;Provence-Alpes-CÃ´te d'Azur;1;2;0;1;1;0;0;1;1;1;3;1;0;1;0;2;1;1;1;0;34;16;5;3;0;2;1
