CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_G101;NB_G102;NB_G103;NB_G104;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES
13077;13077;Port-de-Bouc;1;Grands centres urbains;16136;82,92;0;0;15,66;0;0,92;0,5;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;0;1;2;1;1;1;0;1;0;0;0;0;1;1
13081;13081;Rognac;4;Ceintures urbaines;12175;0;43,47;0;50,46;0;5,27;0,8;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;0;1;0;1;0;0;0;1;0;0;0;0;0;0
13097;13097;Saint-Martin-de-Crau;2;Centres urbains intermédiaires;13729;0;57,31;0;30,5;0;5,2;6,98;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;2;4;1;0;1;1;1;1;0;0;0;1;1;1
13106;13106;Septèmes-les-Vallons;1;Grands centres urbains;11734;82,9;0;0;15,1;0;1,8;0,21;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;0;1;1;1;0;0;0;1;0;0;0;0;0;0
13108;13108;Tarascon;2;Centres urbains intermédiaires;15423;0;78,59;0;10,04;0,46;4,81;6,1;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;1;8;2;1;1;2;0;1;1;0;0;1;1;1
13110;13110;Trets;2;Centres urbains intermédiaires;10678;0;55,51;0;25,59;0;13,31;5,59;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;4;1;0;0;1;1;0;1;0;0;0;0;0;0
14047;14047;Bayeux;2;Centres urbains intermédiaires;12775;0;83,19;0;16,34;0;0,47;0;Calvados;Normandie;3;17;1;7;1;3;0;1;0;1;0;0;0;0
14341;14341;Ifs;1;Grands centres urbains;11981;88,24;0;0;9,22;0;2,43;0,11;Calvados;Normandie;2;3;0;2;0;0;0;1;0;0;0;0;1;1
14366;14366;Lisieux;2;Centres urbains intermédiaires;19807;0;72,82;0;24,7;0;2,28;0,2;Calvados;Normandie;5;11;1;1;2;5;1;1;1;1;0;0;1;1
14437;14437;Mondeville;1;Grands centres urbains;10075;86,97;0;0;12,81;0;0;0,23;Calvados;Normandie;1;4;0;2;1;0;1;1;0;0;0;0;1;1
14762;14762;Vire Normandie;2;Centres urbains intermédiaires;17135;0;36,45;0;26,33;3,37;20,95;12,91;Calvados;Normandie;2;4;2;2;1;2;1;1;0;1;0;0;1;0
16102;16102;Cognac;2;Centres urbains intermédiaires;18448;0;57,95;0;39,28;0;2,77;0;Charente;Nouvelle-Aquitaine;4;9;1;3;1;7;1;2;1;2;0;1;1;2
17306;17306;Royan;2;Centres urbains intermédiaires;19029;0;49,41;0;46,29;0;4,06;0,25;Charente-Maritime;Nouvelle-Aquitaine;6;24;6;1;1;0;0;1;1;0;0;0;0;0
19272;19272;Tulle;3;Petites villes;13992;0;0;85,01;0;0;14,08;0,91;Corrèze;Nouvelle-Aquitaine;3;4;0;1;1;0;1;2;2;2;0;2;3;4
21166;21166;Chenôve;1;Grands centres urbains;14445;93,43;0;0;6,4;0;0,03;0,14;Côte-d'Or;Bourgogne-Franche-Comté;0;4;0;2;0;0;1;1;0;0;0;0;0;0
21171;21171;Chevigny-Saint-Sauveur;2;Centres urbains intermédiaires;10944;0;85,38;0;9,6;0;4,8;0,21;Côte-d'Or;Bourgogne-Franche-Comté;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21617;21617;Talant;1;Grands centres urbains;11894;96,75;0;0;1,39;0;1,86;0;Côte-d'Or;Bourgogne-Franche-Comté;1;1;0;3;0;0;0;1;0;0;1;0;0;0
22050;22050;Dinan;2;Centres urbains intermédiaires;14675;0;60,56;0;37,59;0;1,86;0;Côtes-d'Armor;Bretagne;4;13;1;2;1;5;1;1;1;2;0;0;1;1
22093;22093;Lamballe-Armor;5;Bourgs ruraux;16845;0;0;47,17;0;14,29;29,02;9,53;Côtes-d'Armor;Bretagne;2;5;1;2;1;1;1;4;0;1;0;0;1;1
22187;22187;Plérin;4;Ceintures urbaines;14704;16,86;0;0;57,06;3,26;22,25;0,57;Côtes-d'Armor;Bretagne;2;5;3;1;0;0;0;2;0;0;0;1;0;0
22215;22215;Ploufragan;1;Grands centres urbains;11369;50,82;0;0;27,5;3,74;16,49;1,45;Côtes-d'Armor;Bretagne;1;1;0;0;0;0;0;1;0;0;0;0;0;0
23096;23096;Guéret;2;Centres urbains intermédiaires;12840;0;58,77;0;29,28;0;11,67;0,28;Creuse;Nouvelle-Aquitaine;2;5;1;1;1;5;1;3;1;1;0;2;0;0
24053;24053;Boulazac Isle Manoire;5;Bourgs ruraux;10697;0;12,89;0;32,17;15,83;33,9;5,21;Dordogne;Nouvelle-Aquitaine;0;7;1;2;1;0;0;1;0;0;0;0;1;0
25031;25031;Audincourt;1;Grands centres urbains;13944;87,1;0;0;12,56;0;0,3;0,04;Doubs;Bourgogne-Franche-Comté;0;2;0;1;1;0;0;1;1;0;0;0;1;0
25462;25462;Pontarlier;2;Centres urbains intermédiaires;17849;0;86,08;0;10,88;0;2,51;0,52;Doubs;Bourgogne-Franche-Comté;3;7;1;2;1;6;1;1;0;1;0;0;0;0
25580;25580;Valentigney;1;Grands centres urbains;10765;80,31;0;0;19,68;0;0;0,01;Doubs;Bourgogne-Franche-Comté;0;0;0;1;0;0;0;2;0;0;0;0;0;0
26058;26058;Bourg-lès-Valence;1;Grands centres urbains;19581;81,81;0;0;11,26;0;6,45;0,48;Drôme;Auvergne-Rhône-Alpes;1;7;0;1;0;0;0;1;0;0;0;1;0;0
26235;26235;Pierrelatte;2;Centres urbains intermédiaires;13799;0;53,44;0;35,48;0;7,19;3,89;Drôme;Auvergne-Rhône-Alpes;0;6;0;1;1;2;1;1;0;0;0;1;0;0
26252;26252;Portes-lès-Valence;2;Centres urbains intermédiaires;10422;0;65,61;0;30,15;0;2,94;1,29;Drôme;Auvergne-Rhône-Alpes;1;3;0;0;1;1;0;1;0;0;0;0;1;1
